Qualifications,Country,Work_Type,Job_Posting_Date,Preference,Role,Job_Description,skills,Company,Minimum_Experience,Maximum_Experience,Minimum_Salary_Range,Maximum_Salary_Range
M.Tech,Isle of Man,Intern,24/4/2022,Female,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Icahn Enterprises,5,15,59000,99000
BCA,Turkmenistan,Intern,19/12/2022,Female,Frontend Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",PNC Financial Services Group,2,12,56000,116000
PhD,"Macao SAR, China",Temporary,14/9/2022,Male,Quality Control Manager,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.","Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge",United Services Automobile Assn.,0,12,61000,104000
PhD,Benin,Full-Time,25/2/2023,Female,Wireless Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.",Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,Hess,4,11,65000,91000
MBA,Chile,Intern,11/10/2022,Female,Conference Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,Cairn Energy,1,12,64000,87000
MCA,Belgium,Full-Time,25/7/2023,Male,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",Adani Ports and Special Economic Zone,4,12,59000,93000
PhD,Cayman Islands,Temporary,10/4/2023,Both,Classroom Teacher,"A Classroom Teacher educates students in a specific subject or grade level. They create lesson plans, deliver instruction, assess student progress, and foster a positive learning environment.",Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction,FedEx,3,15,63000,103000
M.Com,Sao Tome and Principe,Contract,20/9/2022,Female,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Ryder System,2,8,65000,102000
BBA,Maldives,Temporary,19/2/2022,Female,Interaction Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,Zee Entertainment Enterprises,2,9,65000,102000
BBA,Antigua and Barbuda,Full-Time,13/5/2022,Both,Wedding Consultant,"A Wedding Consultant assists couples in planning and coordinating their weddings, helping them with vendor selection, budget management, and ensuring a seamless wedding day experience.",Wedding planning Vendor coordination Event management,CSX,1,10,60000,80000
BCA,Bahrain,Contract,1/7/2023,Female,Performance Testing Specialist,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,McDonald's,3,10,57000,104000
B.Tech,Bermuda,Contract,11/10/2021,Male,Family Law Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.",Family law Divorce proceedings Child custody Mediation Legal counseling Court representation,TPG Telecom,4,12,64000,98000
MCA,Jamaica,Part-Time,17/1/2022,Both,Mechanical Design Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.","Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping",ThyssenKrupp AG,3,15,65000,122000
B.Com,Gambia,Temporary,24/5/2022,Female,Network Security Analyst,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,EnLink Midstream,1,8,56000,86000
MCA,Syrian Arab Republic,Full-Time,1/3/2022,Male,Sales Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",Account management Sales strategy Negotiation and closing skills,NGL Energy Partners,1,9,57000,98000
M.Com,Yemen,Part-Time,25/8/2023,Male,Product Brand Manager,A Product Brand Manager focuses on promoting and managing the brand identity of specific products or product lines within a companys portfolio.,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting,Bayer AG,4,12,65000,100000
M.Tech,San Marino,Part-Time,19/4/2022,Male,School Social Worker,"Support students social and emotional well-being in schools, collaborate with educators, and connect families with resources.",School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification,Deere,5,14,60000,83000
BA,French Polynesia,Full-Time,18/5/2022,Male,Content Creator,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.","Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity",Mondelez International,0,11,55000,117000
BA,North Korea,Contract,29/12/2021,Female,Deliverability Analyst,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.","Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail",3M,3,12,55000,121000
PhD,Democratic Republic Of Congo,Temporary,27/7/2022,Female,HR Coordinator,"HR Coordinators assist in HR functions such as recruitment, onboarding, and employee record maintenance. They often handle administrative tasks, organize training programs, and provide support to the HR department in various ways.",Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills,KKR,5,9,65000,128000
B.Tech,Azerbaijan,Full-Time,13/2/2022,Both,Legal Secretary,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.","Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)",NGL Energy Partners,0,15,62000,120000
BCA,Tuvalu,Intern,3/9/2023,Both,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",Family medicine Health assessment Pediatric care Chronic disease management Patient education,EasyJet,0,10,64000,98000
M.Tech,Eritrea,Intern,26/8/2023,Male,Account Strategist,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Otis Worldwide,1,8,58000,116000
PhD,Honduras,Temporary,3/7/2022,Both,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",Oil Search,2,14,62000,124000
MBA,British Virgin Islands,Temporary,2/8/2023,Both,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,HCL Technologies,3,9,60000,104000
BBA,Cuba,Temporary,16/11/2021,Female,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,DTE Energy,4,12,58000,107000
M.Tech,Hungary,Contract,28/11/2022,Male,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,Associated British Foods,5,15,59000,88000
BA,Gambia,Part-Time,23/1/2023,Male,Structural Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Xcel Energy,4,15,64000,100000
M.Com,Tuvalu,Intern,21/1/2023,Female,Security Operations Center (SOC) Analyst,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.","SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage",Deutsche Post DHL Group,0,12,63000,86000
